t,dbm
150.864,-57
150.977,-57
151.089,-57
151.201,-57
151.316,-57
151.428,-57
151.54,-56
151.653,-56
151.768,-56
151.881,-57
151.993,-57
152.105,-56
152.22,-56
152.331,-55
152.444,-56
152.556,-55
152.672,-56
152.786,-56
152.898,-56
153.01,-56
153.123,-55
153.235,-57
153.346,-57
153.462,-58
153.575,-58
153.687,-57
153.799,-57
153.915,-56
154.027,-56
154.14,-57
154.255,-57
154.369,-57
154.482,-55
154.593,-56
154.705,-56
154.82,-56
154.932,-55
155.045,-55
155.157,-54
155.272,-55
155.386,-55
155.499,-56
155.611,-56
155.726,-56
155.841,-56
155.954,-55
156.066,-55
156.182,-55
156.295,-55
156.406,-55
156.518,-55
156.632,-56
156.748,-56
156.86,-55
156.972,-55
157.085,-55
157.197,-56
157.311,-55
157.422,-55
157.534,-55
157.65,-55
157.764,-55
157.876,-56
157.989,-55
158.104,-55
158.22,-55
158.332,-55
158.444,-56
158.559,-55
158.674,-55
158.787,-54
158.899,-55
159.014,-55
159.128,-55
159.241,-55
159.353,-54
159.468,-54
159.583,-54
159.696,-54
159.808,-55
159.923,-55
160.037,-55
160.15,-55
160.262,-54
160.377,-55
160.491,-55
160.603,-55
160.715,-55
160.83,-55
160.945,-55
161.058,-56
161.17,-56
161.282,-55
161.395,-55
161.508,-54
161.62,-54
161.733,-55
161.847,-54
161.963,-55
162.075,-55
162.187,-56
162.3,-55
162.415,-55
162.527,-55
162.639,-55
162.751,-55
162.867,-55
162.979,-55
163.091,-55
163.204,-56
163.316,-56
163.431,-56
163.543,-55
163.655,-55
163.768,-55
163.879,-55
163.991,-55
164.103,-55
164.216,-55
164.328,-55
164.444,-55
164.555,-56
164.667,-57
164.779,-57
164.895,-56
165.007,-55
165.119,-56
165.231,-56
165.343,-56
165.457,-56
165.57,-56
165.685,-56
165.798,-56
165.91,-56
166.025,-55
166.14,-56
166.256,-56
166.367,-58
166.483,-58
166.595,-59
166.707,-58
166.82,-59
166.935,-60
167.05,-62
167.162,-62
167.274,-62
167.386,-61
167.501,-60
167.613,-61
167.726,-61
167.838,-60
167.953,-59
168.066,-59
168.178,-59
168.29,-58
168.401,-57
168.513,-56
168.625,-56
168.737,-56
168.85,-57
168.965,-58
169.08,-58
169.192,-58
169.303,-58
169.416,-58
169.531,-59
169.643,-58
169.756,-57
169.868,-57
169.983,-58
170.096,-56
170.208,-56
170.319,-56
170.435,-56
170.55,-56
170.663,-58
170.775,-58
170.887,-58
171.003,-57
171.115,-57
171.228,-55
171.339,-55
171.454,-55
171.567,-56
171.678,-56
171.79,-57
171.906,-59
172.02,-61
172.132,-62
172.245,-62
172.359,-63
172.474,-62
172.587,-61
172.699,-60
172.811,-62
172.927,-63
173.042,-63
173.155,-62
173.267,-62
173.378,-61
173.494,-63
173.605,-63
173.717,-62
173.83,-61
173.945,-62
174.058,-62
174.171,-63
174.282,-63
174.393,-62
174.508,-61
174.62,-62
174.733,-63
174.845,-63
174.96,-63
175.075,-64
175.188,-64
175.299,-63
175.414,-63
175.53,-62
175.642,-62
175.753,-61
175.866,-63
175.979,-63
176.092,-65
176.207,-64
176.319,-65
176.431,-66
176.542,-66
176.654,-67
176.767,-65
176.882,-63
176.995,-64
177.107,-64
177.218,-64
177.331,-63
177.443,-63
177.555,-63
177.668,-63
177.78,-64
177.892,-64
178.004,-64
178.116,-64
178.232,-64
178.343,-65
178.455,-65
178.567,-63
178.683,-63
178.795,-62
178.908,-62
179.02,-58
179.132,-57
179.244,-57
179.359,-58
179.474,-59
179.587,-59
179.7,-58
179.812,-56
179.925,-56
